category,source,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
2A,-999,EM,GHGa,GgCO2eq,LU,623.4486397,592.7648179,607.1505514,515.0324507,575.3547144,519.1128014,512.1243435,525.9700752,520.2986687,551.342333,579.7359639,513.1170414,528.3197448,471.6575292,513.3657203,504.9907791,500.6256078,496.2562059,466.4148648,440.1557216,452.571551,472.6991758,434.9366876
2A,-999,EM,GHGa,GgCO2eq,LV,585.9845824,527.3157887,250.883645,76.63215286,140.1368898,154.8560351,171.6281087,172.6403865,172.7391802,210.7407802,164.5216646,189.6330665,202.8008968,214.9233064,353.401811,237.8682593,265.657342,282.2200888,280.0140196,242.0048999,508.5524995,631.773202,654.991352
2A,-999,EM,GHGa,GgCO2eq,MT,1.43588205,1.501181055,1.27411007,1.28046787,1.55471232,1.510751687,1.412686931,1.543617265,0.969539185,0.280929131,0.216743249,0.214762121,0.203945028,0.13568849,0.276466889,0.174330685,0.306570278,0.203784562,0.123902776,0.160491434,0.151457755,0.145415645,0.19534554
2A,-999,EM,GHGa,GgCO2eq,NL,1171.527813,1552.822781,1504.331039,1527.215716,1748.432057,1732.889821,1340.253355,1381.469551,1449.763603,1499.550085,1410.707336,1528.545949,1456.107058,1414.118281,1463.522312,1446.823796,1411.939773,1416.097797,1459.671397,1273.659228,1253.718669,1295.309086,1188.626055
2A,-999,EM,GHGa,GgCO2eq,PL,9086.835901,8416.557381,8599.445785,8271.991374,9781.669229,9901.160975,9458.674764,10157.84158,9702.504775,9464.373618,9640.761417,8221.824917,7937.45235,8027.881419,8741.374191,8685.474927,9853.245469,11026.4996,10648.33448,9267.285663,9998.837606,11512.12585,10064.0504
2A,-999,EM,GHGa,GgCO2eq,PT,3499.105443,3633.888306,3531.126081,3610.49943,3746.539179,3958.030096,3888.127539,4108.776747,4130.042447,4444.076972,4472.34824,4338.050734,4608.624408,4295.486764,4712.426809,4767.852285,4675.491287,4899.214334,4803.028797,3933.065433,4046.654427,3413.186385,3279.883836
2A,-999,EM,GHGa,GgCO2eq,RO,8173.334939,6074.634329,5435.961537,5099.41874,4983.805149,5595.655618,5557.036723,5471.31569,5339.089496,4668.862501,4777.774104,5278.306287,5227.515495,5173.165931,5699.4262,5596.906429,6278.112492,6977.852648,6621.08087,4710.402936,4608.34018,4880.991479,5000.955983
2A,-999,EM,GHGa,GgCO2eq,SE,1721.760507,1588.544117,1510.820058,1522.120321,1604.444131,1762.989164,1694.359334,1622.475239,1741.185335,1733.42886,1879.771555,1909.136876,1911.224571,1830.017979,1918.81987,2004.338522,2152.215554,2082.141665,2131.579059,1810.4225,2050.767593,2072.755583,2146.389139
2A,-999,EM,GHGa,GgCO2eq,SI,725.0930813,606.2728678,554.2069433,450.3923277,571.6161484,608.9255547,627.3355564,647.029457,660.8894049,670.7895995,681.5734587,726.0965175,654.7853506,681.6160226,702.3402959,761.2924577,822.6934901,865.1013798,895.4168738,662.7245711,628.7752979,585.2261221,572.8449146
2A,-999,EM,GHGa,GgCO2eq,SK,2966.475316,2153.643144,2215.939783,2054.085288,2157.584307,2305.04818,2218.564413,2315.290939,3032.97167,3058.235471,2523.663756,2585.598047,2599.010643,2296.734966,2978.957989,2969.734124,3018.573226,3049.008872,3144.794954,2455.996902,2303.1747,2681.095,2474.3
