category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,FARM,EM,N2O,kt,DK,17.99204404,17.48147751,17.55891079,16.07424982,16.42282595,15.80974563,14.4957773,14.79300569,14.8318741,14.68307258,14.07953663,13.66247279,13.96829448,12.83512255,12.978607,12.88124645,12.95579142,13.18822751,13.32814615,12.6198602,12.53759775,12.66034751,12.3096793,12.61065162
4D,FARM,EM,NOx,kt,BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4D,FARM,EM,NOx,kt,DK,16.62641979,16.44576617,15.46794084,14.12245262,13.80331347,13.39272092,12.38269049,12.21886974,12.05045292,11.17806713,10.74832646,10.11963569,9.152720172,8.690317505,8.834910124,8.715456427,8.141672382,8.234831165,9.271976849,8.501067272,8.054465594,8.318000839,7.945642428,8.21465135
4D,FARM,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,FARM,-999,N2O,-999,DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,MINERSOM,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,MINERSOM,EM,N2O,kt,BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4D,MINERSOM,EM,N2O,kt,DK,0.637284868,0.474833819,1.400281999,0.219058108,0.710029798,0.489945122,0.108697138,0.493256666,0.247952824,0.682482156,0.417841984,0.361357464,1.022015298,0.527073478,0.451841214,0.42979342,0.878421262,0.779054559,0.584585352,0.223483806,0.499540729,0.429730647,0.273127034,0.56636532
4D,MINERSOM,IEF,N2O,kgN2O-N/kgN,BE,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364,636363.6364
4D,MINERSOM,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
