categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ALVST,EMCH4,Gg,IE,455.9104923,459.9698348,464.1149903,463.2028952,460.3482721,460.8915864,473.3067181,482.8339216,488.8963348,473.6968729,452.1373822,448.6911887,442.9829211,441.3131771,440.7722327,430.0669942,430.9221684,424.0355806,422.58879,416.0719301,406.7429014,402.8573877,419.5812665
4ALVST,EMCH4,Gg,IT,584.6903654,597.0142682,578.7014469,572.5825788,577.5281822,587.9791494,591.7422523,593.2292956,589.2704628,595.8157625,583.1439485,543.955699,528.923878,530.1908772,519.4099915,519.7327963,509.4805327,528.5115383,523.600044,524.1401089,511.0461894,512.0653844,507.9754713
4ALVST,EMCH4,Gg,LT,153.6450323,144.8390021,112.9522351,94.01910852,80.62279271,75.81362196,75.83054183,78.16977907,68.58635226,64.5334659,56.85351414,58.16086128,59.98992549,62.02552217,61.18608986,61.41802865,63.42500511,64.89751101,63.43172523,60.20403361,58.3657175,57.18145678,56.43340436
4ALVST,EMCH4,Gg,LU,12.44644579,12.41301285,11.9089482,12.00143123,11.89696869,12.23404647,12.38638488,12.13635231,12.00919198,11.99622623,11.84438665,11.90340245,11.56420247,11.22061205,11.10607251,11.08751296,10.98311952,11.38216423,11.6290456,11.72690071,11.95709342,11.63326246,11.39717873
4ALVST,EMCH4,Gg,LV,102.3210731,97.84037086,80.53545242,50.19208332,42.56204874,41.5262806,39.56134657,38.93378768,35.96836251,31.11098473,30.70678057,32.31198272,32.09675113,31.95065182,30.89798562,31.92187872,31.52494825,32.98017039,31.80764352,31.54809873,31.73463744,31.82672254,32.74192277
4ALVST,EMCH4,Gg,MT,1.60496854,1.59288154,1.61360804,1.61927904,1.60850604,1.70265304,1.68189754,1.69870204,1.66769754,1.66135054,1.79379504,1.71963672,1.73265382,1.66997122,1.75342722,1.73788912,1.67488812,1.71276202,1.60515652,1.51518902,1.40852104,1.370233,1.392182
4ALVST,EMCH4,Gg,NL,364.1718297,371.4451675,368.6514232,361.8027915,351.8304591,351.4800076,339.8997982,331.4981709,325.5162805,322.9864751,313.1191933,316.9527951,301.2285715,302.2778023,303.3124266,301.429112,302.8259026,306.429086,312.1202138,313.7589292,315.7010386,311.5121379,312.1193046
4ALVST,EMCH4,Gg,PL,776.3746503,693.0867206,633.7382299,583.8725345,576.3294006,545.0652346,528.5582164,540.3466529,525.485615,497.3903873,462.7579524,444.890036,431.8028173,429.4006168,417.2159584,425.975308,436.3971323,442.9226416,443.0386583,438.1175862,439.3894407,441.3722431,443.9952354
4ALVST,EMCH4,Gg,PT,137.5767086,139.527137,139.0365558,134.3298031,140.3264508,146.629084,148.2668549,145.1614614,149.4857706,153.4662248,154.6044596,150.8506306,147.9731931,144.0928247,147.967035,149.181011,148.1721751,146.0495853,146.1512475,141.7644483,139.4498375,136.9186096,136.1199385
4ALVST,EMCH4,Gg,RO,758.7720297,672.8422858,581.841126,563.3206216,540.5250099,531.724338,512.4873324,480.1867484,462.8501919,448.1678215,423.1733431,408.387881,419.0810713,424.8136446,416.7966988,426.0146175,431.0136227,441.7066419,437.9107378,428.8324765,375.9602493,375.0288368,381.3774074
4ALVST,EMCH4,Gg,SE,140.5050913,137.1112452,140.2653478,144.3144532,145.6208969,141.5988379,139.9327412,140.3823023,136.3096496,135.1810229,131.6095415,130.2275011,129.3434115,126.9710451,128.8817164,127.6038914,127.864105,125.3046965,124.4923577,123.6825202,123.2673829,122.7491356,120.9443359
4ALVST,EMCH4,Gg,SI,31.05188962,29.5389397,30.0674193,28.81583715,29.16143149,30.64750209,30.26722006,28.77599951,29.53887423,30.84028141,32.95975291,32.29223612,32.92003379,31.30422942,30.90008194,31.43649448,31.51986738,32.97936048,32.28390556,32.0398794,31.76543029,31.14811565,30.90802599
4ALVST,EMCH4,Gg,SK,95.90145977,87.8931959,77.49353965,66.86922394,63.14071388,67.70871302,63.46446151,56.88336027,53.52946804,51.42099641,50.8195551,52.03925901,50.37847563,48.25953804,45.02388687,45.53057987,44.79329298,44.51403707,43.14821862,41.20293835,40.81338766,40.82483336,42.02648486
4ABUFF,EMCH4,Gg,AT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,BG,1.2796575,1.3354825,1.3937275,1.3000075,1.0824,0.8502175,0.7527575,0.6914875,0.6047525,0.575245,0.5320425,0.4265525,0.385495,0.42251,0.43582,0.4447025,0.4522375,0.4734125,0.500225,0.4821575,0.48268,0.52602,0.52525
4ABUFF,EMCH4,Gg,CY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ABUFF,EMCH4,Gg,CZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
